job_title,job_category,job_type,career_level,posted_date,industries,qualifications,summary,job_description,years_experience,education,hard_skills,soft_skills,skill_count,all_skills,job_url,company_name,company_url,location
striker  cairo,Other,Full-time,Entry level,1 day ago,Food and Beverage Services,"a solid understanding of the off premise channel from supermarkets and convenience stores to kiosks and non traditional retail. commercial awareness and confidence working with sales data and performance metrics you understand how numbers drive decisions. self motivation and discipline this is a field first role, and you ll need to own your schedule, your results, and your impact. a team player mindset while you ll operate independently, you ll also collaborate closely with teammates, distributors, and cross functional teams.","about the role: as a striker, you are red bull's face in the market. you will be responsible for negotiating the elements of red bull perfect store within a set of retail accounts in a given geographical area this includes availability, visibility, communication and additional placements of red bull to enable maximum sales of all red bull products. this is not an office based role you ll be 70 in the field , actively engaging with stores and making an impact where it matters most, and 30 in the office for planning, reporting, and alignment with the sales team. it s a role for someone energetic, self driven, and ready to take full ownership of red bull s presence on the ground.","about the role: as a striker, you are red bull's face in the market. you will be responsible for negotiating the elements of red bull perfect store within a set of retail accounts in a given geographical area this includes availability, visibility, communication and additional placements of red bull to enable maximum sales of all red bull products. this is not an office based role you ll be 70 in the field , actively engaging with stores and making an impact where it matters most, and 30 in the office for planning, reporting, and alignment with the sales team. it s a role for someone energetic, self driven, and ready to take full ownership of red bull s presence on the ground. a solid understanding of the off premise channel from supermarkets and convenience stores to kiosks and non traditional retail. commercial awareness and confidence working with sales data and performance metrics you understand how numbers drive decisions. self motivation and discipline this is a field first role, and you ll need to own your schedule, your results, and your impact. a team player mindset while you ll operate independently, you ll also collaborate closely with teammates, distributors, and cross functional teams.",0,not specified,"['reporting', 'accounting', 'm office']","['self motivation', 'communication', 'discipline']",6,"['reporting', 'accounting', 'm office', 'self motivation', 'communication', 'discipline']",https://www.linkedin.com/jobs/view/striker-cairo-at-red-bull-4335841695?skipRedirect=true&locale=en_US,Red Bull,https://at.linkedin.com/company/red-bull?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
accounts receivable accountant,Finance,Full-time,Entry level,4 days ago,Motor Vehicle Manufacturing,"a bachelor s degree in accounting, finance, commerce, economics, or a business related field minimum experience: 2 4 years experience in the same position","about the job: responsible for updating billing systems, following up and collecting payments, reconciling accounts, and monitoring payment related customer accounts. examine financial records, collect information prepare reports, and make recommendations. job description: collection and allocation of payments follow up, collection, and allocation of customer payments monitoring customer accounts matching payments with invoices and ensuring proper clearing. process adjustments monthly closing entries, visa adjustments, invoices to be charged to vendor accounts, distributors' tax commission etc. handling customer problems investigate and resolve customer queries and problems monthly reports customer aging report for all branches, warranty analysis reports overdue without claims , collection ratios report company wide accountabilities: focuses on results to be achieved in the context of the department's goals while seeking guidance and feedback on his/her performance through mansour's performance management system. responds effectively and take action to improve the results achieved. displays appropriate behavior contributes to creating a positive team spirit. actively seeks opportunities to learn by formal and informal means, learns from others, adopts sharing best practices. show commitment to his/her development needs and plans. establish effective relationships with internal customers to understand meet or exceed their needs and expectations. find ways to ensure internal customer satisfaction.","about the job: responsible for updating billing systems, following up and collecting payments, reconciling accounts, and monitoring payment related customer accounts. examine financial records, collect information prepare reports, and make recommendations. job description: collection and allocation of payments follow up, collection, and allocation of customer payments monitoring customer accounts matching payments with invoices and ensuring proper clearing. process adjustments monthly closing entries, visa adjustments, invoices to be charged to vendor accounts, distributors' tax commission etc. handling customer problems investigate and resolve customer queries and problems monthly reports customer aging report for all branches, warranty analysis reports overdue without claims , collection ratios report company wide accountabilities: focuses on results to be achieved in the context of the department's goals while seeking guidance and feedback on his/her performance through mansour's performance management system. responds effectively and take action to improve the results achieved. displays appropriate behavior contributes to creating a positive team spirit. actively seeks opportunities to learn by formal and informal means, learns from others, adopts sharing best practices. show commitment to his/her development needs and plans. establish effective relationships with internal customers to understand meet or exceed their needs and expectations. find ways to ensure internal customer satisfaction. a bachelor s degree in accounting, finance, commerce, economics, or a business related field minimum experience: 2 4 years experience in the same position",4,bachelor,"['erp system', 'excel', 'data management', 'filing', 'accounting']","['time management', 'learning', 'customer service']",8,"['erp system', 'excel', 'data management', 'filing', 'accounting', 'time management', 'learning', 'customer service']",https://www.linkedin.com/jobs/view/accounts-receivable-accountant-at-al-mansour-automotive-4339582408?skipRedirect=true&locale=en_US,Al-Mansour Automotive,https://eg.linkedin.com/company/al-mansour-automotive?trk=public_jobs_topcard-org-name,"New Cairo, Cairo, Egypt"
interior designer | ikea | cairo festival city,IT,Full-time,Not Applicable,2 weeks ago,Retail,"excellent written and verbal communication in english. about al futtaim retail al futtaim retail has established itself as one of the leaders in retail across the middle east, africa asia over the past 30 years. we have developed partnerships with some of the biggest and most respected brands in the world including ikea, ace and toys r us in the middle east and the inditex group of brands zara, mango, bershka and p b across asia. we are also one of the largest global partners of marks and spencer s in both regions with over 75 stores offering both fashion food options. most recently we have been responsible for bringing brands to the middle east for the first time with the exciting launches of watsons and b q and we aim to continue to be agile and adaptive to our markets with new launches and further development. for this to be possible we aim to recruit the best talent from all backgrounds who will continue to challenge and develop our diverse workforce which includes over 100 nationalities across 12 countries. join us today and make a difference about al futtaim ikea growing together... we are a values driven company with a passion for life at home. our vision is to create a better everyday life for the many people. al futtaim ikea holds the franchise rights for ikea in egypt, oman, qatar and the united arab emirates.","job requisition id: 172571 established in the 1930s as a trading business, al futtaim group today is one of the most diversified and progressive, privately held regional businesses headquartered in dubai, united arab emirates. structured into five operating divisions; automotive, financial services, real estate, retail and healthcare; employing more than 35,000 employees across more than 20 countries in the middle east, asia and africa, al futtaim group partners with over 200 of the world's most admired and innovative brands. al futtaim group s entrepreneurship and relentless customer focus enables the organization to continue to grow and expand; responding to the changing needs of our customers within the societies in which we operate. by upholding our values of respect, excellence, collaboration and integrity; al futtaim group continues to enrich the lives and aspirations of our customers each and every day overview of the role: the interior designer at ikea is responsible for the visual presentation of the product range in the furniture showroom. the role involves designing home furnishing solutions that meet ikea standards and exceed customer expectations. this position requires creativity, a good understanding of the market and trends, and the ability to work collaboratively on projects that enhance the store's commercial objectives. success in this role will involve maintaining high standards of display, ensuring customer engagement, and supporting the commercial calendar.","job requisition id: 172571 established in the 1930s as a trading business, al futtaim group today is one of the most diversified and progressive, privately held regional businesses headquartered in dubai, united arab emirates. structured into five operating divisions; automotive, financial services, real estate, retail and healthcare; employing more than 35,000 employees across more than 20 countries in the middle east, asia and africa, al futtaim group partners with over 200 of the world's most admired and innovative brands. al futtaim group s entrepreneurship and relentless customer focus enables the organization to continue to grow and expand; responding to the changing needs of our customers within the societies in which we operate. by upholding our values of respect, excellence, collaboration and integrity; al futtaim group continues to enrich the lives and aspirations of our customers each and every day overview of the role: the interior designer at ikea is responsible for the visual presentation of the product range in the furniture showroom. the role involves designing home furnishing solutions that meet ikea standards and exceed customer expectations. this position requires creativity, a good understanding of the market and trends, and the ability to work collaboratively on projects that enhance the store's commercial objectives. success in this role will involve maintaining high standards of display, ensuring customer engagement, and supporting the commercial calendar. excellent written and verbal communication in english. about al futtaim retail al futtaim retail has established itself as one of the leaders in retail across the middle east, africa asia over the past 30 years. we have developed partnerships with some of the biggest and most respected brands in the world including ikea, ace and toys r us in the middle east and the inditex group of brands zara, mango, bershka and p b across asia. we are also one of the largest global partners of marks and spencer s in both regions with over 75 stores offering both fashion food options. most recently we have been responsible for bringing brands to the middle east for the first time with the exciting launches of watsons and b q and we aim to continue to be agile and adaptive to our markets with new launches and further development. for this to be possible we aim to recruit the best talent from all backgrounds who will continue to challenge and develop our diverse workforce which includes over 100 nationalities across 12 countries. join us today and make a difference about al futtaim ikea growing together... we are a values driven company with a passion for life at home. our vision is to create a better everyday life for the many people. al futtaim ikea holds the franchise rights for ikea in egypt, oman, qatar and the united arab emirates.",0,not specified,"['english', 'excel', 'it support', 'frontend development']","['collaboration', 'support', 'organization', 'communication', 'leadership']",9,"['english', 'excel', 'it support', 'frontend development', 'collaboration', 'support', 'organization', 'communication', 'leadership']",https://www.linkedin.com/jobs/view/interior-designer-ikea-cairo-festival-city-at-al-futtaim-4312099520?skipRedirect=true&locale=en_US,Al-Futtaim,https://ae.linkedin.com/company/alfuttaim?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
financial planning analyst,Finance,Full-time,Entry level,2 weeks ago,Spectator Sports,"bachelor s degree major accounting, or economics. proficient user of ms office.","job description: create a template for budget and facilitate the stakeholders in it. consolidate the budget and submit to the direct manager. prepare monthly variance report comparing actual p l vs. budget. assist the manager in preparing any required data and reports. ensure all department documents are well safeguarded. ensure that the financial monthly posting complies with budget template. perform any additional tasks that might be necessary for easier workflow, within the main frame of the job s specialty.","job description: create a template for budget and facilitate the stakeholders in it. consolidate the budget and submit to the direct manager. prepare monthly variance report comparing actual p l vs. budget. assist the manager in preparing any required data and reports. ensure all department documents are well safeguarded. ensure that the financial monthly posting complies with budget template. perform any additional tasks that might be necessary for easier workflow, within the main frame of the job s specialty. bachelor s degree major accounting, or economics. proficient user of ms office.",0,bachelor,"['cost accounting', 'accounting', 'm office']",[],3,"['cost accounting', 'accounting', 'm office']",https://www.linkedin.com/jobs/view/financial-planning-analyst-at-wadi-degla-clubs-company-s-a-e-4331451241?skipRedirect=true&locale=en_US,Wadi Degla Clubs Company S.A.E.,https://eg.linkedin.com/company/wadi-degla-clubs-company-s-a-e?trk=public_jobs_topcard-org-name,"Cairo, Egypt"
sales assistant | ikea | cairo festival city,Administrative,Full-time,Not Applicable,3 weeks ago,Retail,"maintain contact with customers regarding new or interesting items and follow up on quotations to convert to sales. encourage the team to meet customer needs and improve service. promote product sales by seizing sales opportunities and suggesting solutions and add on sales. suggest improvements to sales strategies and identify slow moving items for action. maintain full product displays using company merchandising methods. be an expert on the product range within the department. stay informed about market developments, including advertising, promotions, and market visits. keep the sales manager informed about customer feedback and product range gaps. proactivity sales driven approach what qualifies you for the role: secondary education minimum of 3 years in a similar role proactivity and sales driven approach good command of english language preferred: good command of arabic","overview of the role: the retail sales representative is responsible for establishing rapport and credibility with customers to assist them in purchasing products, ensuring a high standard of merchandising, and maintaining stock to achieve sales targets. the role involves daily inspections of the sales area, customer engagement, stock management, and the development of customer relationships to enhance sales performance. success is determined by the ability to exceed expectations and uphold ikea's values.","overview of the role: the retail sales representative is responsible for establishing rapport and credibility with customers to assist them in purchasing products, ensuring a high standard of merchandising, and maintaining stock to achieve sales targets. the role involves daily inspections of the sales area, customer engagement, stock management, and the development of customer relationships to enhance sales performance. success is determined by the ability to exceed expectations and uphold ikea's values. maintain contact with customers regarding new or interesting items and follow up on quotations to convert to sales. encourage the team to meet customer needs and improve service. promote product sales by seizing sales opportunities and suggesting solutions and add on sales. suggest improvements to sales strategies and identify slow moving items for action. maintain full product displays using company merchandising methods. be an expert on the product range within the department. stay informed about market developments, including advertising, promotions, and market visits. keep the sales manager informed about customer feedback and product range gaps. proactivity sales driven approach what qualifies you for the role: secondary education minimum of 3 years in a similar role proactivity and sales driven approach good command of english language preferred: good command of arabic",0,not specified,"['english', 'excel', 'merchandising', 'data management']","['time management', 'proactivity']",6,"['english', 'excel', 'merchandising', 'data management', 'time management', 'proactivity']",https://www.linkedin.com/jobs/view/sales-assistant-ikea-cairo-festival-city-at-al-futtaim-4331137361?skipRedirect=true&locale=en_US,Al-Futtaim,https://ae.linkedin.com/company/alfuttaim?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
business operations specialist,Other,Full-time,Mid-Senior level,1 week ago,Financial Services,"participates in all company offered training sessions. bachelor's degree in ba, bis or equivalents 0 2 years of experience computer mo literacy. ability to collaborate effectively across various departments. solid background to company products services. creating test cases documents. perform thorough investigation tech business to discover issues down to root cause. good knowledge of transaction processing within payment networks benefits embark on an exciting journey with the fin tech experts. join a workplace that actively encourages and supports all talents. a support system where you have a safe place to voice your opinion, share feedback, and be your true authentic self. join us in our mission to accelerate financial inclusion and make financial freedom accessible to all.","handling solving all inquiries complaints, aiming to give a high standard of service as well as building up customer experience. assure proper handling of queries complaints within the accepted service level. coordinating with other departments to maintain a high level of customer satisfaction. properly handles solves customers' inquiries complaints, whether verbal via phone or written via email or letters. conduct user acceptance testing uat and other testing activities for new releases, change requests, and service integrations to ensure quality and functionality. communicate actively with other departments such as cal center, sales business developments accurately records all details of customers' inquiries complaints for statistical and analytical purposes.","handling solving all inquiries complaints, aiming to give a high standard of service as well as building up customer experience. assure proper handling of queries complaints within the accepted service level. coordinating with other departments to maintain a high level of customer satisfaction. properly handles solves customers' inquiries complaints, whether verbal via phone or written via email or letters. conduct user acceptance testing uat and other testing activities for new releases, change requests, and service integrations to ensure quality and functionality. communicate actively with other departments such as cal center, sales business developments accurately records all details of customers' inquiries complaints for statistical and analytical purposes. participates in all company offered training sessions. bachelor's degree in ba, bis or equivalents 0 2 years of experience computer mo literacy. ability to collaborate effectively across various departments. solid background to company products services. creating test cases documents. perform thorough investigation tech business to discover issues down to root cause. good knowledge of transaction processing within payment networks benefits embark on an exciting journey with the fin tech experts. join a workplace that actively encourages and supports all talents. a support system where you have a safe place to voice your opinion, share feedback, and be your true authentic self. join us in our mission to accelerate financial inclusion and make financial freedom accessible to all.",2,bachelor,"['erp system', 'statistical analysis', 'it support', 'test case', 'pos system', 'filing']","['support', 'customer service']",8,"['erp system', 'statistical analysis', 'it support', 'test case', 'pos system', 'filing', 'support', 'customer service']",https://www.linkedin.com/jobs/view/business-operations-specialist-at-al-ahly-momkn-4320197712?skipRedirect=true&locale=en_US,Al Ahly Momkn,https://eg.linkedin.com/company/alahlymomknfore-payments?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
human resources assistant,Administrative,Full-time,Entry level,4 days ago,Business Consulting and Services,basic knowledge of hr operations and administration. high attention to detail and ability to maintain confidentiality.,"providing administrative support to the hr department. this role includes maintaining personnel records, supporting the onboarding process, and assisting in daily hr operations. the assistant ensures smooth communication within the department and with employees, contributing to the overall efficiency of hr processes. additionally, the hr assistant supports the recruitment team by screening and uploading resumes according to the applied position.","providing administrative support to the hr department. this role includes maintaining personnel records, supporting the onboarding process, and assisting in daily hr operations. the assistant ensures smooth communication within the department and with employees, contributing to the overall efficiency of hr processes. additionally, the hr assistant supports the recruitment team by screening and uploading resumes according to the applied position. basic knowledge of hr operations and administration. high attention to detail and ability to maintain confidentiality.",0,not specified,['it support'],"['support', 'communication', 'attention to detail']",4,"['it support', 'support', 'communication', 'attention to detail']",https://www.linkedin.com/jobs/view/human-resources-assistant-at-talent-zone-4339581776?skipRedirect=true&locale=en_US,Talent Zone,https://www.linkedin.com/company/talent-zone-egy?trk=public_jobs_topcard-org-name,"New Cairo, Cairo, Egypt"
admin assistant,Administrative,Full-time,Entry level,2 weeks ago,Hospitality,,"25172598 job category administrative location le m ridien cairo airport, cairo international airport, cairo, egypt, egypt, schedule full time located remotely? n position type non management enter and retrieve information contained in computer databases by using a keyboard, mouse or trackball to update records, files, reservations and respond to guest inquiries. transmit information or documentation through the use of a computer, mail or fax. operate standard office equipment, other than computers. write letters, memos and other documents using word processors, spreadsheets, databases or presentation software. handle incoming and outgoing mail, date it, and distribute incoming mail. create and maintain filing and organization systems in electronic and paper format for files, reports, documents, etc. compile, copy, classify and file records of office activities, business transactions and other activities. enter and locate work related information using computers and/or point of sale systems. comply with all company policies and procedures, ensure uniform and personal appearance are neat and professional, maintain the confidentiality of proprietary information, and protect company assets. greet and recognize all guests according to company standards, anticipate and address their service needs, assist individuals with disabilities, and thank guests with genuine appreciation. speak with others using clear and professional language, prepare and review written documents accurately and completely, and answer phones using proper protocol. cultivate and maintain positive working relationships with others. support the team to achieve common goals and listen to and respond appropriately to the concerns of other employees. move, lift, carry, push, drag, and locate objects weighing 10 pounds or less without assistance.perform other reasonable job duties as requested by supervisors. at international, we are committed to providing , making everyone feel welcome and facilitating access to career opportunities. we actively promote an environment where the diversity of our associates' backgrounds is valued and celebrated. our great strength lies in the exquisite fusion of cultures, talents and experiences of our associates. we are committed to not discriminating on the basis of disability, veteran status, or other characteristics protected by applicable law. at le m ridien, we draw inspiration from the era of glamorous travel and celebrate every culture with the distinctly european spirit of enjoying the good life. our guests are curious and creative, fans of cosmopolitan culture who appreciate moments of connection and relaxation to enjoy the destination. we provide authentic, elegant and memorable service along with experiences that inspire guests to revel in the good life. we are looking for curious and creative people to join the team. if you like connecting with like minded guests and want to create memorable experiences, we invite you to check out le m ridien's career opportunities. by joining le m ridien, you join a portfolio of brands with international. you will be where you can do your best work, you will start to fulfill your purpose, you will be part from an incredible global team and you will become in your best version.","25172598 job category administrative location le m ridien cairo airport, cairo international airport, cairo, egypt, egypt, schedule full time located remotely? n position type non management enter and retrieve information contained in computer databases by using a keyboard, mouse or trackball to update records, files, reservations and respond to guest inquiries. transmit information or documentation through the use of a computer, mail or fax. operate standard office equipment, other than computers. write letters, memos and other documents using word processors, spreadsheets, databases or presentation software. handle incoming and outgoing mail, date it, and distribute incoming mail. create and maintain filing and organization systems in electronic and paper format for files, reports, documents, etc. compile, copy, classify and file records of office activities, business transactions and other activities. enter and locate work related information using computers and/or point of sale systems. comply with all company policies and procedures, ensure uniform and personal appearance are neat and professional, maintain the confidentiality of proprietary information, and protect company assets. greet and recognize all guests according to company standards, anticipate and address their service needs, assist individuals with disabilities, and thank guests with genuine appreciation. speak with others using clear and professional language, prepare and review written documents accurately and completely, and answer phones using proper protocol. cultivate and maintain positive working relationships with others. support the team to achieve common goals and listen to and respond appropriately to the concerns of other employees. move, lift, carry, push, drag, and locate objects weighing 10 pounds or less without assistance.perform other reasonable job duties as requested by supervisors. at international, we are committed to providing , making everyone feel welcome and facilitating access to career opportunities. we actively promote an environment where the diversity of our associates' backgrounds is valued and celebrated. our great strength lies in the exquisite fusion of cultures, talents and experiences of our associates. we are committed to not discriminating on the basis of disability, veteran status, or other characteristics protected by applicable law. at le m ridien, we draw inspiration from the era of glamorous travel and celebrate every culture with the distinctly european spirit of enjoying the good life. our guests are curious and creative, fans of cosmopolitan culture who appreciate moments of connection and relaxation to enjoy the destination. we provide authentic, elegant and memorable service along with experiences that inspire guests to revel in the good life. we are looking for curious and creative people to join the team. if you like connecting with like minded guests and want to create memorable experiences, we invite you to check out le m ridien's career opportunities. by joining le m ridien, you join a portfolio of brands with international. you will be where you can do your best work, you will start to fulfill your purpose, you will be part from an incredible global team and you will become in your best version. ",0,associate,"['erp system', 'fax', 'oracle', 'database', 'it support', 'pos system', 'filing', 'spreadsheet', 'word', 'm office', 'office equipment']","['organization', 'support']",13,"['erp system', 'fax', 'oracle', 'database', 'it support', 'pos system', 'filing', 'spreadsheet', 'word', 'm office', 'office equipment', 'organization', 'support']",https://www.linkedin.com/jobs/view/admin-assistant-at-marriott-international-4318883742?skipRedirect=true&locale=en_US,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
engineering positions,Engineering,Full-time,Mid-Senior level,1 week ago,IT Services and IT Consulting,"bachelor s degree in engineering civil, electrical, or mechanical . 2 to 10 years of proven experience in infrastructure and/or mep contracting projects. proficiency in autocad and ms office; experience with revit / navisworks is an advantage. benefits attractive package. life social medical insurance. accommodation is provided depend on project. transportation is provided depend on project.","we are seeking experienced civil, electrical, and mechanical engineers to join our teams across project sites and the technical office . successful candidates will support the execution and technical management of infrastructure and mep projects , ensuring alignment with project specifications, quality standards, and delivery schedules.","we are seeking experienced civil, electrical, and mechanical engineers to join our teams across project sites and the technical office . successful candidates will support the execution and technical management of infrastructure and mep projects , ensuring alignment with project specifications, quality standards, and delivery schedules. bachelor s degree in engineering civil, electrical, or mechanical . 2 to 10 years of proven experience in infrastructure and/or mep contracting projects. proficiency in autocad and ms office; experience with revit / navisworks is an advantage. benefits attractive package. life social medical insurance. accommodation is provided depend on project. transportation is provided depend on project.",10,bachelor,"['data management', 'mechanical engineer', 'it support', 'engineering', 'm office']","['time management', 'support']",7,"['data management', 'mechanical engineer', 'it support', 'engineering', 'm office', 'time management', 'support']",https://www.linkedin.com/jobs/view/engineering-positions-at-elsewedy-engineering-industries-sei-4334626780?skipRedirect=true&locale=en_US,ElSewedy Engineering Industries SEI,https://eg.linkedin.com/company/elsewedyengineeringindustries?trk=public_jobs_topcard-org-name,"Giza, Al Jizah, Egypt"
financial and investment analyst,Finance,Full-time,Not Applicable,5 days ago,Real Estate and Facilities Services,"contact leasing companies or banks to facilitate any inquiries. ensure all departments documents are well safeguarded. perform any additional tasks that might be necessary for easier workflow, within the main frame of the job s specialty educational background and previous experience: bachelor s degree major finance, or economics minimum 2 years of experience in the same field.","job description: assist the direct manager in preparing the financial model plan for 5 years. prepare monthly balance sheet and cash flow statements. reconcile all balance sheet items and p l to the financial analysis classifications. assist in preparing feasibility studies for any project. prepare monthly and annual projected cash flow, and the comparison with actual plan. support in presenting the final monthly variance report to cfo and stakeholders. assist the direct manager in preparing any required data and reports. trace all data from the reports to p l, balance sheet, and cash flow statements to ensure conformity.","job description: assist the direct manager in preparing the financial model plan for 5 years. prepare monthly balance sheet and cash flow statements. reconcile all balance sheet items and p l to the financial analysis classifications. assist in preparing feasibility studies for any project. prepare monthly and annual projected cash flow, and the comparison with actual plan. support in presenting the final monthly variance report to cfo and stakeholders. assist the direct manager in preparing any required data and reports. trace all data from the reports to p l, balance sheet, and cash flow statements to ensure conformity. contact leasing companies or banks to facilitate any inquiries. ensure all departments documents are well safeguarded. perform any additional tasks that might be necessary for easier workflow, within the main frame of the job s specialty educational background and previous experience: bachelor s degree major finance, or economics minimum 2 years of experience in the same field.",2,bachelor,"['financial analysis', 'it support']","['support', 'flexibility']",4,"['financial analysis', 'it support', 'support', 'flexibility']",https://www.linkedin.com/jobs/view/financial-and-investment-analyst-at-wadi-degla-clubs-company-s-a-e-4338199462?skipRedirect=true&locale=en_US,Wadi Degla Clubs Company S.A.E.,https://eg.linkedin.com/company/wadi-degla-clubs-company-s-a-e?trk=public_jobs_topcard-org-name,"Cairo, Egypt"
guest relation officer  female,Customer Service,Full-time,Entry level,5 days ago,Hospitality,"previous experience in hospitality or customer service bachelor's degree in hospitality management, tourism, or related field preferred strong problem solving abilities and attention to detail computer literacy, including proficiency in ms office and hotel management software familiarity with hotel operations and guest service standards knowledge of local attractions and services in sharm el sheikh ability to work flexible hours, including evenings, weekends, and holidays professional appearance and friendly demeanor empathetic and supportive attitude towards guests ability to work well under pressure and handle multiple tasks simultaneously must be able to work in sharm el sheikh, egypt your team and working environment: in 1 2 sentences, introduce the team, property or office environment in a way that reflects the culture our commitment to diversity inclusion: we are an inclusive company and our ambition is to attract, recruit and promote diverse talent.","company description ""why work for accor? we are far more than a worldwide leader. we welcome you as you are and you can find a job and brand that matches your personality. we support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore accor s limitless possibilities. by joining accor, every chapter of your story is yours to write and together we can imagine tomorrow's hospitality. discover the life that awaits you at accor, visit do what you love, care for the world, dare to challenge the status quo! belimitless"" job description we are seeking a friendly and customer focused guest relation officer to join our team in the beautiful resort city of sharm el sheikh, egypt. as a guest relation officer, you will be the face of our organization, ensuring that our guests have an exceptional experience from check in to check out. welcome and greet guests upon arrival, providing a warm and professional first impression handle guest inquiries, requests, and complaints promptly and efficiently coordinate with various departments to ensure guest needs are met provide information about hotel services, local attractions, and activities in sharm el sheikh assist with check in and check out procedures, ensuring a smooth process for guests maintain accurate guest records and update information in the hotel management system anticipate guest needs and proactively offer assistance resolve guest issues and concerns in a timely and satisfactory manner promote hotel services and amenities to enhance guest experience and increase revenue ensure compliance with hotel policies and procedures while maintaining high standards of customer service","company description ""why work for accor? we are far more than a worldwide leader. we welcome you as you are and you can find a job and brand that matches your personality. we support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore accor s limitless possibilities. by joining accor, every chapter of your story is yours to write and together we can imagine tomorrow's hospitality. discover the life that awaits you at accor, visit do what you love, care for the world, dare to challenge the status quo! belimitless"" job description we are seeking a friendly and customer focused guest relation officer to join our team in the beautiful resort city of sharm el sheikh, egypt. as a guest relation officer, you will be the face of our organization, ensuring that our guests have an exceptional experience from check in to check out. welcome and greet guests upon arrival, providing a warm and professional first impression handle guest inquiries, requests, and complaints promptly and efficiently coordinate with various departments to ensure guest needs are met provide information about hotel services, local attractions, and activities in sharm el sheikh assist with check in and check out procedures, ensuring a smooth process for guests maintain accurate guest records and update information in the hotel management system anticipate guest needs and proactively offer assistance resolve guest issues and concerns in a timely and satisfactory manner promote hotel services and amenities to enhance guest experience and increase revenue ensure compliance with hotel policies and procedures while maintaining high standards of customer service previous experience in hospitality or customer service bachelor's degree in hospitality management, tourism, or related field preferred strong problem solving abilities and attention to detail computer literacy, including proficiency in ms office and hotel management software familiarity with hotel operations and guest service standards knowledge of local attractions and services in sharm el sheikh ability to work flexible hours, including evenings, weekends, and holidays professional appearance and friendly demeanor empathetic and supportive attitude towards guests ability to work well under pressure and handle multiple tasks simultaneously must be able to work in sharm el sheikh, egypt your team and working environment: in 1 2 sentences, introduce the team, property or office environment in a way that reflects the culture our commitment to diversity inclusion: we are an inclusive company and our ambition is to attract, recruit and promote diverse talent.",0,bachelor,"['erp system', 'excel', 'data management', 'it support', 'm office']","['problem solving', 'customer service', 'proactivity', 'attention to detail', 'time management', 'support', 'positive attitude', 'organization']",13,"['erp system', 'excel', 'data management', 'it support', 'm office', 'problem solving', 'customer service', 'proactivity', 'attention to detail', 'time management', 'support', 'positive attitude', 'organization']",https://www.linkedin.com/jobs/view/guest-relation-officer-female-at-m%C3%B6venpick-hotels-resorts-4334909173?skipRedirect=true&locale=en_US,Mövenpick Hotels & Resorts,https://fr.linkedin.com/company/moevenpick-hotels-&-resorts?trk=public_jobs_topcard-org-name,"Sharm El Sheikh, South Sinai, Egypt"
